Name,Resource Type,Address,Contact Number,Contact Email,Work Hours,Longitude,Latitude
Kenton Women's Village ,Alt. Sh. Com.,"2250-2344 N Columbia Blvd, Portland, OR 97217",(503) 688-2632,KENTON@CCOREGON.ORG,9AM-10PM Everyday,45.58597981,-122.6904285
Dignity Viilage ,Alt. Sh. Com.,"Dignity Village, 9401 NE Sunderland Ave, Portland, OR 97211",503-281-1604,N/A,8AM-10PM Everyday,45.59139735,-122.6360988
North Clackamas DHS Free Food Market,FB,"16440 SE 82nd Drive, Clackamas, OR 97015",(503)-282-0555,odhs.info@odhsoha.oregon.gov,8AM-5PM (M-F),45.40434598,-122.5679071
Clackamas Park Friends Church Free Food Market,FB,"8120, SE Thiessen Rd, Milwaukie, OR, 97267",(503)-282-0555,office@cpfchurch.net,"1-5PM (T-F), 9AM-1:30PM (U)",45.41576166,-122.5799723
Hereford House Food Pantry,FB,"7704 N Hereford Ave, Portland, OR, 97203",(503)-706-2500,N/A,12-2PM (F-S),45.58269544,-122.7217
School Pantry at Clarendon (SUN/Latino Network),FB,"9325 N Van Houten Ave, Portland, OR, 97203",(503)-970-0235,N/A,12-2PM (W),45.59034624,-122.7239575
St Philip the Deacon Church,FB,"120 NE Knott St, Portland, OR, 97212",(503)-281-5802,office​@stphilipthedeacon.org,"9:30AM-4:30PM (M, Th), 9AM-12AM (U)",45.54163822,-122.6638094
Portland Rescue Mission,FB,"111 W Burnside, Portland, OR, 97209",(503)-906-7690,info@pdxmission.org,24 Hours,45.52333717,-122.671689
William Temple House,FB,"2023 NW Hoyt St, Portland, OR, 97209",(503)-226-3021,kryan@williamtemple.org,11AM-2PM (T-Th),45.52728544,-122.6927721
Outside In Cafe,FB,"1132 SW 13th Ave, Portland, OR, 97205",(503)-535-3800,info@outsidein.org,"8AM-5PM (M), 8AM-5:PM (T-F)",45.51765962,-122.6865276
Tigard UMC - Bethlehem House of Bread,FB,"9055 SW Locust, Tigard, OR, 97223",(503)-639-3181,hello@bethlehemhouseofbread.org,"1-3PM (U), 4-6PM (T), 1-3PM (Th)",45.44711144,-122.7702205
Tigard ODHS Free Food Market,FB,"10777 SW Cascade Ave, Tigard, OR, 97223",N/A,N/A,1:30PM-3:30PM (M),45.44198071,-122.7823961
Virginia Garcia Beaverton Free Food Market,FB,"2725 SW Cedar Hill BLVD Suite 200, Beaverton, OR, 97005",(503)-282-0555,N/A,8AM-7PM (M-F),45.50046314,-122.8092757
Neighborhood House Free Food Market,FB,"3445 SW Moss Street, Portland, OR, 97219",(503)-246-1663,info@nhpdx.org,"10AM-4PM (M, W), 2-6PM (Th)",45.46765844,-122.712416
Borland Free Clinic,HC,"3550 SW Borland Road, Tualatin, OR, 97062",(503)-974-8887,info@borlandclinic.org,"3-7PM (T, Th)",45.37367122,-122.7115763
Alameda Clinic,HC,"3351 NE Broadway, Portland, OR, 97232",(503)-282-9222,N/A,"9AM-2PM (M-Th), 2-6PM (U)",45.5353955,-122.62957
